# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 15818 3332
p 2 0 575 345 782 667
p 2 0 577 343 2300 859
p 2 0 473 447 710 590
p 2 1 472 447 2243 729
p 2 0 398 522 659 524
p 2 3 416 501 2434 688
p 2 0 351 569 615 484
p 2 0 365 555 2958 691
p 2 0 350 570 631 473
p 2 14 393 513 3100 828
p 2 0 310 610 583 450
p 2 19 372 529 3397 834
p 2 0 337 583 631 467
p 2 12 380 528 4075 804
p 2 0 342 578 690 511
p 2 12 384 524 3064 785
p 2 0 302 618 611 443
p 2 13 365 542 3297 764
p 2 0 324 596 592 450
p 2 1 376 543 2803 697
p 2 0 274 646 565 415
p 2 6 324 590 2670 674
p 2 0 306 614 542 426
p 2 0 360 560 2550 675
p 2 0 283 637 536 407
p 2 47 308 565 2921 826
p 2 0 319 601 577 449
p 2 11 376 533 2802 796
p 2 0 298 622 575 427
p 2 30 349 541 3644 872
p 2 0 302 618 573 436
p 2 18 370 532 3631 864
p 2 0 327 593 626 453
p 2 8 401 511 3283 851
p 2 0 362 558 641 477
p 2 5 411 504 3663 862
p 2 0 327 593 635 453
p 2 1 426 493 3239 803
p 2 0 394 526 749 561
p 2 10 411 499 3670 875
p 2 0 391 529 682 506
p 2 12 407 501 3458 904
p 2 0 362 558 683 496
p 2 12 407 501 3424 878
p 2 0 339 581 602 463
p 2 0 414 506 2103 695
p 2 0 323 597 608 462
p 2 0 380 540 2340 696
p 2 0 357 563 625 486
p 2 4 395 521 2427 712
p 2 0 336 584 636 464
p 2 0 389 531 2747 740
p 2 0 314 606 596 443
p 2 9 362 549 4032 789
p 2 0 336 584 660 473
p 2 9 350 561 3118 753
p 2 0 306 614 593 436
p 2 12 319 589 3458 729
p 2 0 310 610 575 439
p 2 1 342 577 2770 665
p 2 0 258 662 530 398
p 2 25 337 558 3104 755
p 2 0 314 606 559 435
p 2 1 376 543 2241 654
p 2 0 277 643 531 412
p 2 7 345 568 2523 676
p 2 0 318 602 598 450
p 2 37 302 581 3395 824
p 2 0 325 595 608 456
p 2 39 319 562 3022 811
p 2 0 312 608 585 441
p 2 29 328 563 3278 857
p 2 0 308 612 576 434
p 2 56 315 549 4483 963
p 2 0 311 609 603 448
p 2 3 375 542 3372 816
p 2 0 279 641 569 433
p 2 6 381 533 3557 824
p 2 0 328 592 617 461
p 2 20 354 546 2771 771
p 2 0 340 580 617 470
p 2 15 368 537 3119 791
p 2 0 321 599 590 449
p 2 13 370 537 2839 791
p 2 0 292 628 592 431
p 2 64 336 520 3816 1008
p 2 0 317 603 592 448
p 2 25 339 556 3708 882
p 2 0 330 590 617 466
p 2 35 339 546 3623 866
p 2 0 322 598 589 448
p 2 10 384 526 3958 809
p 2 0 322 598 594 445
p 2 10 383 527 3091 776
p 2 0 320 600 588 450
p 2 12 329 579 3278 729
p 2 0 276 644 556 421
p 2 1 347 572 2687 673
p 2 0 232 688 526 400
p 2 5 318 597 2575 672
p 2 0 300 620 576 433
p 2 0 317 603 2558 666
p 2 0 287 633 556 424
p 2 48 303 569 2762 811
p 2 0 297 623 567 425
p 2 12 319 589 2768 750
p 2 0 308 612 543 421
p 2 29 355 536 3713 889
p 2 0 336 584 569 459
p 2 16 372 532 3623 871
p 2 0 338 582 613 460
p 2 6 412 502 3239 844
p 2 0 341 579 585 452
p 2 5 405 510 3546 851
p 2 0 353 567 644 472
p 2 1 415 504 3242 813
p 2 0 369 551 683 523
p 2 8 417 495 3630 865
p 2 0 381 539 697 511
p 2 13 422 485 3487 923
p 2 0 361 559 669 499
p 2 11 392 517 3428 867
p 2 0 351 569 658 493
p 2 0 416 504 2160 708
p 2 0 329 591 614 466
p 2 0 410 510 2323 694
p 2 0 330 590 582 446
p 2 4 383 533 2427 700
p 2 0 342 578 620 472
p 2 0 381 539 2804 717
p 2 0 320 600 579 432
p 2 11 378 531 3952 817
p 2 0 346 574 635 486
p 2 10 367 543 3096 778
p 2 0 327 593 619 457
p 2 13 338 569 3283 746
p 2 0 312 608 601 447
p 2 1 327 592 2780 658
p 2 0 292 628 566 429
p 2 3 330 587 2527 672
p 2 0 261 659 554 404
p 2 1 334 585 2618 682
p 2 0 237 683 510 378
p 2 46 311 563 2886 806
p 2 0 280 640 542 413
p 2 11 310 599 2672 717
p 2 0 292 628 552 412
p 2 26 333 561 3847 877
p 2 0 305 615 585 444
p 2 18 356 546 3723 883
p 2 0 336 584 627 466
p 2 7 380 533 3234 815
p 2 0 353 567 601 463
p 2 3 386 531 3606 828
p 2 0 364 556 653 478
p 2 1 411 508 3267 803
p 2 0 348 572 662 483
p 2 7 394 519 3714 845
p 2 0 373 547 694 498
p 2 12 375 533 3389 883
p 2 0 322 598 625 462
p 2 12 395 513 3447 899
p 2 0 359 561 668 486
p 2 0 399 521 2218 697
p 2 0 373 547 658 498
p 2 0 394 526 2457 705
p 2 0 314 606 572 444
p 2 4 378 538 2341 696
p 2 0 301 619 573 440
p 2 0 391 529 2847 727
