# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 48 872 211 181
p 2 0 32 888 186 166
p 2 0 39 881 201 172
p 2 0 47 873 217 181
p 2 0 59 861 233 189
p 2 0 93 827 307 223
p 2 0 134 786 365 257
i 2 920 0 0 70256 4863
p 2 0 889 31 24406 1285
p 2 0 895 25 27546 1324
p 2 0 900 20 28652 1350
p 2 0 891 29 28404 1356
p 2 0 899 21 29378 1371
p 2 0 902 18 28468 1366
p 2 0 897 23 28827 1369
p 2 0 905 15 28770 1370
p 2 0 906 14 28536 1380
p 2 0 901 19 29491 1377
p 2 0 906 14 28351 1369
p 2 0 904 16 28483 1372
p 2 0 907 13 29064 1395
p 2 0 902 18 28662 1381
p 2 0 901 19 29453 1400
p 2 0 901 19 28818 1391
p 2 0 907 13 28672 1396
p 2 0 900 20 28930 1387
p 2 0 902 18 29190 1377
p 2 0 903 17 29403 1387
p 2 0 910 10 28766 1383
p 2 0 903 17 29335 1385
p 2 0 907 13 29007 1385
p 2 0 901 19 29078 1382
p 2 0 909 11 30210 1387
p 2 0 898 22 28992 1372
p 2 0 910 10 29011 1379
p 2 0 903 17 29539 1372
p 2 0 908 12 29743 1392
p 2 0 900 20 29239 1378
p 2 0 906 14 29559 1380
p 2 0 910 10 29806 1378
p 2 0 909 11 29681 1396
p 2 0 905 15 29314 1379
p 2 0 910 10 29500 1390
p 2 0 908 12 29447 1400
p 2 0 909 11 29797 1411
p 2 0 901 19 29781 1394
p 2 0 904 16 29266 1378
p 2 0 909 11 30140 1410
p 2 0 905 15 29443 1390
p 2 0 899 21 29345 1381
p 2 1 907 12 30624 1412
p 2 0 902 18 29230 1383
p 2 0 906 14 29443 1387
p 2 0 896 24 29424 1379
p 2 0 908 12 30185 1387
p 2 0 903 17 29266 1387
p 2 0 908 12 29621 1383
p 2 1 905 14 30299 1391
p 2 0 907 13 30054 1390
p 2 0 902 18 29440 1370
p 2 0 900 20 29704 1381
p 2 0 902 18 29845 1385
p 2 0 909 11 29859 1378
p 2 0 905 15 30367 1389
p 2 0 909 11 29617 1375
p 2 0 901 19 29731 1389
p 2 0 909 11 29990 1393
p 2 0 897 23 29879 1374
p 2 0 906 14 30455 1388
p 2 0 898 22 29896 1363
p 2 0 906 14 29985 1378
p 2 0 902 18 30385 1384
p 2 0 902 18 30359 1393
p 2 0 909 11 30545 1383
p 2 0 908 12 30710 1386
p 2 2 897 21 30817 1389
p 2 0 908 12 30114 1381
p 2 0 898 22 30751 1382
p 2 1 903 16 30954 1405
p 2 0 900 20 30402 1399
p 2 0 900 20 30210 1394
p 2 1 902 17 30809 1394
p 2 0 906 14 30159 1405
p 2 0 903 17 30139 1409
p 2 0 903 17 31426 1416
p 2 0 912 8 29953 1417
p 2 0 906 14 30279 1397
p 2 0 901 19 31189 1408
p 2 0 908 12 29948 1404
p 2 0 900 20 30926 1405
p 2 0 906 14 30822 1411
p 2 0 911 9 30222 1403
p 2 0 906 14 31126 1404
p 2 0 908 12 30484 1414
p 2 0 905 15 31419 1419
p 2 0 910 10 30688 1412
p 2 0 913 7 30582 1401
p 2 0 912 8 30917 1416
p 2 0 911 9 31244 1416
p 2 0 911 9 31219 1422
p 2 49 858 13 37290 1717
p 2 35 877 8 38849 1657
p 2 35 876 9 39583 1627
p 2 32 876 12 39334 1595
p 2 35 873 12 40017 1618
p 2 35 876 9 39038 1614
p 2 39 876 5 39394 1634
p 2 30 879 11 38609 1582
p 2 0 880 40 25953 1345
p 2 0 807 113 25115 1245
p 2 0 800 120 25786 1230
p 2 0 794 126 24985 1220
p 2 0 784 136 25637 1217
p 2 0 793 127 25365 1203
p 2 0 806 114 25034 1223
p 2 0 785 135 25186 1200
p 2 0 801 119 25479 1226
p 2 0 798 122 25510 1225
p 2 0 792 128 25087 1225
p 2 0 780 140 25738 1218
p 2 0 782 138 25632 1206
p 2 0 780 140 25335 1214
p 2 0 791 129 26150 1225
p 2 0 771 149 25203 1191
p 2 0 763 157 25545 1192
p 2 0 758 162 25434 1186
p 2 0 773 147 25633 1191
p 2 0 755 165 25645 1195
p 2 0 763 157 25354 1194
p 2 0 754 166 25315 1190
p 2 0 752 168 25843 1184
p 2 0 750 170 25816 1187
p 2 0 758 162 25771 1194
p 2 0 744 176 25602 1173
p 2 0 749 171 25706 1177
p 2 0 754 166 25692 1195
p 2 0 763 157 26146 1207
p 2 0 736 184 25425 1177
p 2 0 749 171 25931 1188
p 2 0 747 173 25646 1170
p 2 0 749 171 26551 1193
p 2 0 724 196 25627 1159
p 2 0 735 185 25939 1176
p 2 0 737 183 25898 1164
p 2 0 742 178 25910 1191
p 2 0 747 173 25520 1184
p 2 0 739 181 26343 1190
p 2 0 741 179 25337 1178
p 2 0 743 177 26061 1196
p 2 0 728 192 25926 1159
p 2 0 730 190 25636 1157
p 2 0 735 185 25795 1170
p 2 0 735 185 25868 1165
p 2 0 723 197 26031 1160
p 2 0 724 196 25497 1150
p 2 0 723 197 26274 1154
p 2 0 726 194 25754 1149
p 2 0 733 187 26130 1175
i 2 920 0 0 69012 4364
p 2 0 400 520 11261 647
p 2 0 335 585 13117 605
p 2 0 327 593 13067 584
p 2 0 321 599 13342 591
p 2 0 323 597 13098 591
p 2 0 353 567 13798 629
p 2 0 320 600 12723 587
p 2 0 341 579 13116 612
p 2 0 327 593 13197 596
p 2 0 359 561 13184 628
p 2 0 328 592 12595 599
p 2 0 322 598 13298 592
p 2 0 324 596 12603 586
p 2 0 334 586 12903 601
p 2 0 313 607 12913 580
p 2 0 316 604 12495 580
p 2 0 305 615 12267 567
p 2 0 337 583 12820 603
p 2 0 300 620 12170 561
p 2 0 299 621 12284 561
p 2 0 310 610 12562 573
p 2 0 296 624 12280 560
p 2 0 305 615 12055 566
p 2 0 286 634 12302 556
p 2 0 305 615 11948 568
p 2 0 307 613 12072 571
p 2 0 280 640 11939 540
p 2 0 273 647 11834 540
p 2 0 285 635 11796 542
p 2 0 284 636 12169 545
p 2 0 271 649 11672 541
p 2 0 263 657 11490 522
p 2 0 281 639 11785 540
p 2 0 279 641 11797 541
p 2 0 266 654 11427 524
p 2 0 261 659 11725 518
p 2 0 254 666 11355 513
p 2 0 276 644 11654 531
p 2 0 248 672 11226 502
p 2 0 252 668 11364 513
p 2 0 245 675 11185 498
p 2 0 276 644 11604 531
p 2 0 265 655 10912 512
p 2 0 243 677 10937 497
p 2 0 260 660 11228 516
p 2 0 256 664 10996 502
p 2 8 219 693 11230 524
p 2 7 225 688 11319 525
p 2 7 225 688 10718 519
p 2 6 219 695 10231 503
p 2 5 225 690 10286 508
p 2 6 219 695 9511 498
p 2 7 202 711 8710 484
p 2 6 202 712 8628 478
p 2 5 203 712 7994 470
p 2 3 201 716 7222 455
p 2 4 202 714 7369 458
p 2 3 194 723 6733 449
p 2 3 188 729 6020 437
p 2 4 193 723 6304 449
p 2 5 178 737 5461 438
p 2 4 175 741 5023 440
p 2 8 182 730 5021 457
p 2 6 183 731 4532 465
p 2 0 164 756 948 310
p 2 0 171 749 924 311
p 2 0 113 807 437 245
p 2 0 116 804 585 248
p 2 0 109 811 776 241
p 2 0 126 794 462 254
p 2 0 112 808 514 240
p 2 0 94 826 639 222
p 2 0 115 805 410 244
p 2 0 141 779 718 268
p 2 0 171 749 836 294
p 2 0 153 767 713 282
i 2 920 0 0 30868 3627
p 2 0 913 7 2567 967
p 2 102 808 10 23107 1910
p 2 0 913 7 4048 1022
p 2 116 804 0 24132 2028
p 2 0 915 5 3740 1026
p 2 0 917 3 4572 1023
p 2 203 716 1 26945 2275
p 2 1 907 12 3862 1004
p 2 6 904 10 4259 1041
p 2 41 857 22 23902 1650
p 2 0 907 13 4596 1022
p 2 21 890 9 21123 1469
p 2 0 912 8 4542 1049
p 2 0 904 16 4685 1011
p 2 3 904 13 17767 1280
p 2 0 891 29 4755 997
p 2 0 900 20 4752 1013
p 2 7 877 36 19807 1269
p 2 0 901 19 4334 1003
p 2 0 906 14 5083 1006
p 2 0 897 23 4890 1006
p 2 0 899 21 4743 991
p 2 0 908 12 4687 1008
p 2 3 900 17 6646 1038
p 2 0 898 22 4643 1008
p 2 3 904 13 6532 1032
p 2 0 903 17 4774 1002
p 2 0 908 12 7494 1036
p 2 0 903 17 5174 1018
p 2 3 902 15 5009 1008
p 2 0 901 19 5016 1021
p 2 0 909 11 5031 1013
p 2 0 907 13 5113 1006
p 2 0 915 5 4796 1006
p 2 0 911 9 5335 1001
p 2 0 918 2 5056 990
p 2 3 908 9 5249 1014
p 2 2 909 9 4709 1003
p 2 3 904 13 5269 1019
p 2 2 912 6 4941 1015
p 2 0 910 10 4852 1005
p 2 0 913 7 4910 1015
i 2 920 0 0 43238 3737
p 2 0 882 38 13942 1072
p 2 0 885 35 15608 1061
p 2 0 841 79 15506 1026
p 2 0 886 34 15792 1056
p 2 0 865 55 15381 1026
p 2 0 879 41 15553 1045
p 2 0 873 47 15690 1038
p 2 0 893 27 15800 1058
p 2 0 875 45 15579 1042
p 2 0 875 45 15790 1036
p 2 0 866 54 15665 1028
p 2 0 879 41 15834 1034
p 2 0 878 42 15882 1041
p 2 0 872 48 15737 1043
p 2 0 853 67 15769 1035
p 2 0 874 46 15872 1035
p 2 0 854 66 15587 1027
p 2 0 864 56 15708 1029
p 2 0 856 64 15927 1034
p 2 0 857 63 15779 1042
p 2 0 860 60 15700 1035
p 2 0 866 54 15904 1042
p 2 0 855 65 15705 1035
p 2 0 858 62 15846 1038
p 2 0 863 57 15986 1049
p 2 0 875 45 15779 1050
p 2 0 857 63 16168 1051
p 2 0 877 43 16029 1045
p 2 0 863 57 15960 1049
p 2 0 874 46 15791 1063
p 2 0 837 83 15913 1022
p 2 0 862 58 15885 1062
p 2 0 872 48 16205 1058
p 2 0 865 55 16091 1053
p 2 0 845 75 16061 1037
p 2 0 857 63 15893 1046
p 2 0 851 69 16279 1037
p 2 0 855 65 15750 1030
p 2 0 853 67 15981 1036
p 2 0 847 73 15802 1021
p 2 0 879 41 15929 1055
p 2 0 867 53 15833 1038
p 2 0 874 46 15704 1044
p 2 0 871 49 15755 1045
p 2 0 878 42 15749 1048
p 2 0 884 36 16017 1063
p 2 0 873 47 15702 1053
p 2 0 855 65 15699 1030
p 2 0 871 49 15804 1054
p 2 0 860 60 15857 1041
p 2 0 860 60 15825 1034
