# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 54056 4269
p 2 136 784 0 54339 3119
p 2 142 778 0 52209 3139
p 2 141 779 0 51674 3138
p 2 127 792 1 51949 3118
p 2 127 793 0 51323 3104
p 2 102 817 1 53668 3027
p 2 110 810 0 52351 3031
p 2 107 812 1 53214 3135
p 2 100 820 0 50630 2985
p 2 112 807 1 47432 3042
p 2 71 848 1 45897 2860
p 2 73 846 1 46059 2932
p 2 97 822 1 47708 3020
p 2 98 821 1 49237 2995
p 2 99 819 2 52168 2963
p 2 113 806 1 51882 3047
p 2 123 796 1 51731 3038
p 2 139 778 3 51696 3097
p 2 138 780 2 50920 3132
p 2 115 802 3 51538 3102
p 2 140 780 0 52090 3153
p 2 117 802 1 52207 3049
p 2 136 784 0 52998 3126
p 2 123 797 0 51633 3081
p 2 177 743 0 54005 3329
p 2 144 776 0 53668 3249
p 2 133 786 1 55363 3218
p 2 131 789 0 54139 3189
p 2 186 734 0 57749 3390
p 2 193 727 0 57356 3427
p 2 118 801 1 49027 3009
p 2 113 806 1 47177 2970
p 2 101 819 0 45890 2941
p 2 88 831 1 46035 2886
p 2 97 821 2 48299 2926
p 2 105 815 0 50093 3033
p 2 102 817 1 51961 3031
p 2 120 796 4 53067 3037
p 2 113 806 1 51984 2979
p 2 118 802 0 51383 3044
p 2 113 805 2 51737 3084
p 2 112 807 1 52117 3026
p 2 146 774 0 51691 3153
p 2 120 800 0 53884 3073
p 2 131 788 1 52402 3054
p 2 121 799 0 50930 3037
p 2 113 807 0 52634 3034
p 2 133 786 1 51918 3094
p 2 158 762 0 54624 3276
p 2 136 784 0 57166 3227
p 2 137 783 0 55684 3109
p 2 136 783 1 53845 3162
p 2 114 806 0 52380 3098
p 2 91 829 0 47173 2935
p 2 80 840 0 46483 2920
p 2 119 800 1 48192 3013
p 2 100 820 0 48844 2923
p 2 91 828 1 50362 2985
p 2 114 806 0 53529 3034
p 2 130 787 3 53316 3047
p 2 119 801 0 52270 3035
p 2 127 790 3 52527 3075
p 2 106 814 0 52082 3066
p 2 131 787 2 52852 3177
p 2 135 785 0 52917 3126
p 2 123 796 1 53476 3052
p 2 117 801 2 52258 3032
p 2 123 795 2 52238 3067
p 2 142 777 1 52187 3146
p 2 130 790 0 51928 3100
p 2 101 819 0 53129 3060
p 2 88 831 1 54112 2959
p 2 101 818 1 52732 3036
p 2 109 811 0 52104 2952
p 2 110 809 1 49018 2995
p 2 89 830 1 46832 2934
p 2 108 812 0 47285 3012
p 2 107 811 2 48014 2974
p 2 116 803 1 49190 3005
p 2 100 820 0 51157 3030
p 2 100 819 1 53443 3004
p 2 137 781 2 52226 3096
p 2 136 783 1 51406 3085
p 2 150 766 4 52241 3112
p 2 104 816 0 52547 3070
p 2 134 786 0 53526 3166
p 2 111 809 0 53017 3043
p 2 121 799 0 54283 3072
p 2 136 783 1 52224 3115
p 2 143 777 0 52137 3117
p 2 136 784 0 52160 3123
p 2 123 795 2 51862 3067
p 2 98 821 1 53391 2993
p 2 101 818 1 53663 2989
p 2 95 824 1 52731 2952
p 2 118 802 0 52598 3091
i 2 920 0 0 18541 3716
p 2 130 790 0 18311 3055
i 2 920 0 0 21188 3827
p 2 93 825 2 14406 2465
p 2 495 425 0 25373 3935
p 2 42 812 66 10296 1972
p 2 118 802 0 23422 2937
p 2 39 874 7 10681 1976
p 2 34 879 7 18567 2417
p 2 47 846 27 11588 2057
p 2 43 871 6 15119 2247
p 2 36 862 22 10131 1992
p 2 26 886 8 16537 2218
p 2 28 888 4 10441 1961
p 2 89 826 5 19373 2572
i 2 920 0 0 39743 3993
p 2 0 890 30 10940 1367
p 2 0 912 8 11072 1324
p 2 1 903 16 11769 1362
p 2 3 900 17 11467 1350
p 2 1 897 22 11761 1393
p 2 0 901 19 11612 1369
p 2 1 901 18 11784 1419
p 2 0 910 10 11603 1383
p 2 0 895 25 12147 1386
p 2 0 906 14 12083 1394
p 2 1 900 19 12414 1426
p 2 0 908 12 11890 1385
p 2 0 890 30 11728 1415
p 2 0 910 10 11626 1396
p 2 0 900 20 12261 1436
p 2 0 914 6 11710 1411
p 2 0 909 11 11917 1414
p 2 0 902 18 11764 1406
p 2 0 891 29 11619 1398
p 2 0 914 6 11820 1388
p 2 1 901 18 11728 1390
p 2 1 911 8 12236 1398
p 2 1 893 26 12374 1457
p 2 0 910 10 12054 1434
p 2 0 898 22 12412 1439
p 2 0 912 8 11873 1407
p 2 0 910 10 11628 1396
p 2 1 909 10 11946 1400
p 2 2 892 26 11484 1432
p 2 0 909 11 11136 1401
p 2 0 899 21 10923 1400
p 2 0 913 7 11821 1411
p 2 0 897 23 11496 1403
p 2 0 896 24 11769 1406
p 2 2 892 26 11956 1420
p 2 0 909 11 11830 1409
p 2 0 903 17 11525 1419
p 2 0 913 7 11316 1399
p 2 0 902 18 11312 1384
p 2 1 900 19 11637 1409
p 2 0 901 19 12213 1426
p 2 0 908 12 11670 1414
